날짜,사용자 인식 비정상 종료 발생률: Android 14,사용자 인식 비정상 종료 발생률: 동종 앱 중앙값(Android 14),사용자 인식 비정상 종료 발생률: 동종 앱 중앙값(Android 13),사용자 인식 비정상 종료 발생률: 모든 버전,참고사항
2025년 1월 28일,-,0.16%,0.20%,1.83%,
2025년 1월 29일,-,0.16%,0.20%,1.83%,
2025년 1월 30일,-,0.16%,0.20%,1.83%,
2025년 1월 31일,-,0.16%,0.20%,1.83%,
2025년 2월 1일,-,0.17%,0.20%,1.83%,
2025년 2월 2일,-,0.16%,0.20%,1.83%,
2025년 2월 3일,-,0.16%,0.20%,1.85%,
2025년 2월 4일,-,0.16%,0.20%,1.85%,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,1.69%,0.16%,0.20%,2.43%,
2025년 2월 6일,1.69%,0.17%,0.20%,2.83%,
2025년 2월 7일,1.69%,0.17%,0.20%,2.83%,
2025년 2월 8일,1.69%,0.17%,0.20%,3.96%,
2025년 2월 9일,1.69%,0.17%,0.20%,3.96%,
2025년 2월 10일,1.69%,0.17%,0.20%,3.74%,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,1.83%,0.17%,0.20%,3.69%,
2025년 2월 12일,1.83%,0.17%,0.20%,3.70%,
2025년 2월 13일,1.83%,0.17%,0.20%,3.50%,
2025년 2월 14일,1.83%,0.17%,0.20%,3.54%,
2025년 2월 15일,1.83%,0.17%,0.21%,3.54%,
2025년 2월 16일,1.83%,0.17%,0.21%,3.54%,
2025년 2월 17일,1.83%,0.18%,0.21%,3.54%,
2025년 2월 18일,1.83%,0.17%,0.20%,3.39%,
2025년 2월 19일,1.83%,0.17%,0.20%,3.52%,
2025년 2월 20일,1.83%,0.17%,0.21%,3.82%,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,1.83%,0.18%,0.21%,3.82%,
2025년 2월 22일,1.83%,0.17%,0.21%,3.82%,
2025년 2월 23일,1.83%,0.17%,0.22%,3.69%,
