날짜,"기기 업데이트 수 (모든 기기, 모든 이벤트, 구간별, 일별): 모든 국가/지역","기기 업데이트 수 (모든 기기, 모든 이벤트, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,0,0,
2025년 1월 27일,2,2,
2025년 1월 28일,2,2,
2025년 1월 29일,3,3,
2025년 1월 30일,3,3,
2025년 1월 31일,0,0,
2025년 2월 1일,2,2,
2025년 2월 2일,5,5,
2025년 2월 3일,1,1,
2025년 2월 4일,237,237,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,222,220,
2025년 2월 6일,63,63,
2025년 2월 7일,42,41,
2025년 2월 8일,32,32,
2025년 2월 9일,16,16,
2025년 2월 10일,62,62,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,373,373,
2025년 2월 12일,130,128,
2025년 2월 13일,59,59,
2025년 2월 14일,49,49,
2025년 2월 15일,23,23,
2025년 2월 16일,11,11,
2025년 2월 17일,5,5,
2025년 2월 18일,7,7,
2025년 2월 19일,13,13,
2025년 2월 20일,244,244,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,277,277,
2025년 2월 22일,96,96,
2025년 2월 23일,76,76,
2025년 2월 24일,23,23,
