날짜,"비정상 종료 (구간별, 일별): 모든 Android 버전","비정상 종료 (구간별, 일별): Android 12",참고사항
2025년 1월 26일,2,0,
2025년 1월 27일,2,1,
2025년 1월 28일,1,0,
2025년 1월 29일,0,0,
2025년 1월 30일,4,1,
2025년 1월 31일,0,0,
2025년 2월 1일,3,2,
2025년 2월 2일,5,0,
2025년 2월 3일,1,0,
2025년 2월 4일,5,4,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,7,1,
2025년 2월 6일,5,0,
2025년 2월 7일,2,1,
2025년 2월 8일,6,1,
2025년 2월 9일,0,0,
2025년 2월 10일,7,3,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,2,1,
2025년 2월 12일,8,2,
2025년 2월 13일,0,0,
2025년 2월 14일,2,0,
2025년 2월 15일,2,1,
2025년 2월 16일,0,0,
2025년 2월 17일,0,0,
2025년 2월 18일,1,0,
2025년 2월 19일,2,0,
2025년 2월 20일,1,0,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,0,0,
2025년 2월 22일,1,0,
2025년 2월 23일,4,3,
2025년 2월 24일,3,3,
