날짜,"설치된 모듈 (모든 기기, 순 기기, 구간별, 일별): 모든 모듈","설치된 모듈 (모든 기기, 순 기기, 구간별, 일별): base","설치된 모듈 (모든 기기, 순 기기, 구간별, 일별): UnityDataAssetPack",참고사항
2025년 1월 26일,"3,040","2,009","1,031",
2025년 1월 27일,"3,055","2,018","1,037",
2025년 1월 28일,"3,066","2,026","1,040",
2025년 1월 29일,"3,039","2,008","1,031",
2025년 1월 30일,"3,056","2,020","1,036",
2025년 1월 31일,"3,008","1,988","1,020",
2025년 2월 1일,"3,073","2,031","1,042",
2025년 2월 2일,"3,068","2,024","1,044",
2025년 2월 3일,"3,106","2,048","1,058",
2025년 2월 4일,"3,213","2,113","1,100",버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,"3,258","2,136","1,122",
2025년 2월 6일,"3,261","2,131","1,130",
2025년 2월 7일,"3,305","2,156","1,149",
2025년 2월 8일,"3,348","2,180","1,168",
2025년 2월 9일,"3,336","2,171","1,165",
2025년 2월 10일,"3,334","2,168","1,166",버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,"3,384","2,199","1,185",
2025년 2월 12일,"3,433","2,225","1,208",
2025년 2월 13일,"3,498","2,261","1,237",
2025년 2월 14일,"3,479","2,248","1,231",
2025년 2월 15일,"3,486","2,250","1,236",
2025년 2월 16일,"3,510","2,263","1,247",
2025년 2월 17일,"3,527","2,274","1,253",
2025년 2월 18일,"3,520","2,268","1,252",
2025년 2월 19일,"3,574","2,299","1,275",
2025년 2월 20일,"3,646","2,341","1,305",버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,"3,664","2,348","1,316",
2025년 2월 22일,"3,664","2,347","1,317",
2025년 2월 23일,"3,700","2,368","1,332",
