날짜,"일일 총 수익(USD, PST8PDT) (구간별, 일별): 모든 국가/지역","일일 총 수익(USD, PST8PDT) (구간별, 일별): 대한민국",참고사항
2025년 1월 26일,USD 0.00,USD 0.00,
2025년 1월 27일,USD 0.00,USD 0.00,
2025년 1월 28일,USD 0.00,USD 0.00,
2025년 1월 29일,USD 0.00,USD 0.00,
2025년 1월 30일,USD 0.00,USD 0.00,
2025년 1월 31일,USD 0.00,USD 0.00,
2025년 2월 1일,USD 0.00,USD 0.00,
2025년 2월 2일,USD 0.00,USD 0.00,
2025년 2월 3일,USD 0.00,USD 0.00,
2025년 2월 4일,USD 0.00,USD 0.00,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,USD 0.00,USD 0.00,
2025년 2월 6일,USD 0.00,USD 0.00,
2025년 2월 7일,USD 0.00,USD 0.00,
2025년 2월 8일,USD 0.00,USD 0.00,
2025년 2월 9일,USD 0.00,USD 0.00,
2025년 2월 10일,USD 0.00,USD 0.00,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,USD 0.00,USD 0.00,
2025년 2월 12일,USD 30.27,USD 30.27,
2025년 2월 13일,USD 0.00,USD 0.00,
2025년 2월 14일,USD 0.00,USD 0.00,
2025년 2월 15일,USD 61.78,USD 61.78,
2025년 2월 16일,USD 0.00,USD 0.00,
2025년 2월 17일,USD 6.17,USD 6.17,
2025년 2월 18일,USD 0.00,USD 0.00,
2025년 2월 19일,USD 0.00,USD 0.00,
2025년 2월 20일,USD 6.19,USD 6.19,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,USD 6.21,USD 6.21,
2025년 2월 22일,USD 0.00,USD 0.00,
2025년 2월 23일,USD 6.21,USD 6.21,
