날짜,"제거 이벤트 (모든 기기, 모든 이벤트, 구간별, 일별): 모든 국가/지역","제거 이벤트 (모든 기기, 모든 이벤트, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,3,3,
2025년 1월 27일,9,9,
2025년 1월 28일,3,3,
2025년 1월 29일,8,8,
2025년 1월 30일,6,6,
2025년 1월 31일,10,10,
2025년 2월 1일,5,5,
2025년 2월 2일,6,6,
2025년 2월 3일,2,2,
2025년 2월 4일,13,11,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,12,12,
2025년 2월 6일,8,8,
2025년 2월 7일,6,6,
2025년 2월 8일,10,10,
2025년 2월 9일,9,9,
2025년 2월 10일,6,6,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,18,18,
2025년 2월 12일,8,8,
2025년 2월 13일,6,6,
2025년 2월 14일,8,8,
2025년 2월 15일,10,10,
2025년 2월 16일,13,13,
2025년 2월 17일,12,12,
2025년 2월 18일,6,6,
2025년 2월 19일,9,9,
2025년 2월 20일,9,9,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,5,5,
2025년 2월 22일,11,11,
2025년 2월 23일,8,8,
2025년 2월 24일,7,7,
